Genotype,Kmeans,H_cluster
310111,4,4
310219,16,24
310301,28,28
310354,8,16
310645,8,16
310747,24,28
310802,4,4
310998,24,24
311078,12,12
311151,4,20
311383,32,32
311600,12,16
311642,20,24
311677,8,12
311735,16,16
311795,24,32
301161,NA,4
310131,NA,8
311385,NA,4
